customer_tweet_id,customer_text,agent_tweet_id,agent_text,created_at
301483,There are so many issues that the only solution is the old UI. very sad that can't use Spotify anymore (,301482,That's not cool! What specifically is causing the issues you're seeing? /AW,Fri Aug 11 18:49:46 +0000 2017
899407,THISSSS 1202 VOTES IDK HOW MANY PEOPLE MUST SUFFER!! MAKE IT HAPPEN!! YOUR RELEASE RADAR ALGORITHM SUCKS!!!,899405,"Hey Kevin! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /GU",Fri Aug 18 21:27:32 +0000 2017
2534757,I don't know who this Babyface is spotify:track:5SBFOgLRFvrZm2Lt7FDpzD but it's defo not popular soul crooner. Don't confuse the fans of the latter ;),2534756,Hey there! Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /MO,Fri Dec 01 00:05:23 +0000 2017
456857,it’s not letting me access my account because it says I need to make a new password. But every time i go to do that it says that the CSRF token is invalid. Please help.,456856,"Hey, help's here. Could you send us a DM with your account's email address and username? Also, if you could send a screenshot of the error message you're getting, that'd be super handy. We'll take a look backstage /JZ",Fri Dec 01 00:11:29 +0000 2017
456853,Reputation still not available on spotify ph,456852,"Hey there! We’ll have it available to you as soon as it’s available to us! For now, check out the singles: 🙂 /KL",Fri Dec 01 00:15:52 +0000 2017
106335,"Hey DF, Chrome V62 on a Mac. I didn't write down the ads, but three consecutive ads disabled the volume (stays grey on hover), and when music resumed playing the volume became active again (green and interactive on hover).",106337,"We hear you! Rest assured your feedback has been passed onto the right team. For now, check out if you haven't had a subscription before. Let us know if you need anything else /AV",Fri Dec 01 00:26:20 +0000 2017
2850054,I have a personality playlist which is now a radio feed on the app? What happened? I always logged music that is me to my list but now I cannot.,2850053,Hey Antony! Can you let us know what's happening exactly? A screenshot of what you're seeing would come in handy /RH,Fri Dec 01 00:34:13 +0000 2017
458082,"Question for you, what happened to the All Day album from artist Girl Talk? It was on Spotify a few months ago... Thanks!",458081,Hey Jen! We’d love to have all of their stuff available but sometimes content gets removed due to licensing changes. We have some info about content here: /KL,Fri Dec 01 00:40:39 +0000 2017
102231,"Yeah, it kind of went away by itself. I got a bunch of TOO MANY REDIRECT errors when I was trying to log in, but it resolved itself after an hour or so. Maybe you had some temporary, localized server issues. Anyway, I'm happy again. 😊",102233,"Awesome! We're glad everything's working fine now. If you ever need us again, just give us a... 🙂 /AR",Fri Dec 01 00:42:50 +0000 2017
458078,"i purchased the $0.99 for 3 months and got charged but my account still says free, I am a new user.",458077,We've just sent a DM your way. Let's carry on chatting there 🙂 /CG,Fri Dec 01 00:42:56 +0000 2017
458064,What's stranger things mode,458061,Hey Timothy! You're onto us. The Stranger Things Mode is in partnership with Netflix to promote the latest season of Stranger Things. Experience it at Let us know if you need anything else /RA,Fri Dec 01 00:47:22 +0000 2017
2849960,"The past month or two has been an absolutely horrific user experience. Why is the platform degrading—getting more buggy? Patch your bugs or I'm gone. In the meantime, I'll take a two month refund/credit.",2849959,"Hey Ali, that's not cool! Can you tell us more about what's happening and what device, operating system, and Spotify app you're rocking? We'll see what we can suggest /RA",Fri Dec 01 00:50:28 +0000 2017
458058,I am trying to reconnect my spotify to hulu and I keep getting an error message on the activation screen,458057,Hey Anna! We've just replied to your DM. Let's carry on chatting there /KC,Fri Dec 01 00:53:31 +0000 2017
458053,"I am trying to reset my password, but the page keeps showing ""The CSRF token is invalid."" Can you provide assistance?",458051,"Hey Charles, help's here! Does clearing your cache/cookies help? You might also want to try using an incognito window. Let us know how it goes /VK",Fri Dec 01 00:54:02 +0000 2017
459140,"Send a HTTP GET request (eg: using any device. Tested on Windows and Linux with CURL, ajax and Firebug.",459138,Got it. We have more info about this here: We hope that helps! /MT,Fri Dec 01 01:18:59 +0000 2017
459135,"Hey, please add 'Is Your Love Enough?' by on Today's Top Hits! This song have so potential and deserves it!",459134,"Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /MO",Fri Dec 01 01:22:35 +0000 2017
1008474,what the fuck is this??? Explain,1008473,Thanks for letting us know. We'll get this reported. Hopefully we'll have Chris Brown's Seasons Change available soon /AR,Fri Dec 01 01:28:36 +0000 2017
1007665,"Is it just me, or did the #spotify web player stop working?? Chrome AND Firefox don't work.. don't make me use IE!!!!",1007664,Hey there! Does restarting your device make a difference? We'll be right here waiting /LO,Fri Dec 01 01:35:06 +0000 2017
67687,Can't login please help,1007523,Hey Jennifer! We've just replied to your DM. We'll carry on helping out there /KC,Fri Dec 01 01:35:51 +0000 2017
