golden_id,customer_issue,support_response,human_relevance,human_helpfulness,human_response_quality,human_notes,rag_response,llm_relevance,llm_helpfulness,llm_response_quality,
96,@SpotifyCares No that didn’t work :( I’m attaching a screenshot of what it’s doing w/the app open https://t.co/Lo3IuLmPk0,@249035 Thanks for the screenshot. Can you let us know the device iOS and version of Spotify you're using? We'll see what we can suggest /JI,5,4,5,Acknowledged the screenshot and promptly asked for essential device and OS details to diagnose the persistent app crash.,@249035 Thanks for the screenshot. Can you let us know the device iOS and version of Spotify you're using? We'll see what we can suggest /JI,4,3,4,
16,"@SpotifyCares Train tickets, With very loud horns. Oh and visit some place somewhere. I switch off once is says listen to this... And thanks for listening","@594886 Got it. Just to check, did you definitely watch the video ad that grants 30 minutes of ad-free listening in full? Keep us in the loop /NY",3,2,2,"Customer left a vague complaint about repetitive ads; agent made a reasonable attempt to clarify ad terms, but tone was slightly generic.","@594886 Got it. Just to check, did you definitely watch the video ad that grants 30 minutes of ad-free listening in full? Keep us in the loop /NY",1,1,2,
31,"@SpotifyCares So, when do you think this will happen? Would really like to run to Spotify on my Apple Watch @115858 @115888","@254421 Hey there! We're afraid we don’t have any new info to share about this, but we’ll remind the team it’s a popular request /NQ",5,3,4,"Directly answered the Apple Watch availability query; honest and polite about the lack of release dates, though non-resolutive.","@254421 Hey there! We're afraid we don’t have any new info to share about this, but we’ll remind the team it’s a popular request /NQ",4,2,3,
159,@115888 we need to have a talk 🤧,"@540086 Hey there, the cavalry's here! Could you DM us some more info about what's going on? We'll see what we can suggest /BX https://t.co/ldFdZRiNAt",4,5,4,Appropriate response to an ambiguous conversational tweet; invited user to DM with full details to investigate privately.,"@540086 Hey there, the cavalry's here! Could you DM us some more info about what's going on? We'll see what we can suggest /BX https://t.co/ldFdZRiNAt",4,3,3,
129,@115888 @117168 Is there an Apple Watch app coming soon? I want to get on some runs w my favorite Spotify playlists!,@119922 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /RB,4,4,4,Addressed the Apple Watch inquiry directly and provided an actionable link to vote on the community feature roadmap.,@119922 Hey! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /RB,4,3,4,
116,@SpotifyCares Aces. Thanks a mill.,@672293 No worries. Let us know if we can help with anything else 🙂 /AY,5,4,5,Courteous and polite sign-off to a satisfied customer thanking support; effectively closes the ticket.,@672293 No worries. Let us know if we can help with anything else 🙂 /AY,5,4,5,
70,Hi @115888 @SpotifyCares be cool to be able to share folders via URL...? #please?,@336433 We can see how that’d be useful! Suggest it in our Community where you can get support from other fans: https://t.co/WgY7GXI7jf /JN,4,3,4,Validated the user's feature suggestion (sharing folders via URL) and provided an actionable link to the ideas board.,@336433 We can see how that’d be useful! Suggest it in our Community where you can get support from other fans: https://t.co/WgY7GXI7jf /JN,4,3,4,
171,"@115888 i have lost username, email amd password of my spotify premium account, can you help me please?","@151202 Hey there, helps here! Could you send us a DM with the first 6 and last 4 of your payment form? For security purposes, be sure you don't send the full card number. We'll take a look backstage and get back to you in a beat /ZO https://t.co/ldFdZRiNAt",5,5,5,Followed strict privacy protocols by directing account recovery to DM and asking only for partial payment verification details.,"@151202 Hey there, helps here! Could you send us a DM with the first 6 and last 4 of your payment form? For security purposes, be sure you don't send the full card number. We'll take a look backstage and get back to you in a beat /ZO https://t.co/ldFdZRiNAt",3,3,3,
175,@125633 ANDROID! I just wanna.. say ANDROID. :) (Ok I know it's coming),"@335533 It'll be with you soon on Android, RYMDKRAFT... Promise 😉 /T",4,2,4,"Playful and brand-appropriate acknowledgment of upcoming Android availability, matching the customer's enthusiastic tone.","@335533 It'll be with you soon on Android, RYMDKRAFT... Promise 😉 /T",4,3,4,
46,@SpotifyCares when does the offer to get 3 months of premium for $9.99 expire?,"@219895 Hey there, the offer will end on the 31st of Dec 2017. Strike while the iron's hot! 🔥 /SY",5,5,5,"Clear, immediate resolution providing the exact expiration date for the promotional deal with an engaging, friendly tone.","@219895 Hey there, the offer will end on the 31st of Dec 2017. Strike while the iron's hot! 🔥 /SY",5,5,5,
