customer_text,historical_agent_reply,gold_intent,gold_escalate,gold_escalation_reason
please help - my Spotify stopped playing and now it's just white.. even community forum for help etc just coming up like this,That doesn't sound right. What country is your account set to? We'll take a look backstage /JE,playback_technical,False,common_issue_known_resolution:playback_technical
"Still hasn't helped, won't play on bus wifi and won't play when I go off the app either..",Thanks for keeping us in the loop. Can you try the steps here for us: Let us know if that makes a difference /AY,playback_technical,False,common_issue_known_resolution:playback_technical
"I skipped address confirmation, how do I confirm my address for now? Can I have my premium account back? thx",Hi Fajar! Can you DM us your username or email address? We'll take a look backstage /NH,playback_technical,False,common_issue_known_resolution:playback_technical
why is my music skipping like a cd,"Hey there! That doesn't sound good. Can you let us know the device, operating system, and app version you're using? /PB",playback_technical,False,common_issue_known_resolution:playback_technical
iPhone after a song ends the app crashes,"That doesn't sound good. Are you getting any error messages when this happens? If so, a screenshot of it will be handy /NY",playback_technical,False,common_issue_known_resolution:playback_technical
"Thanks but it's not a bug, it's a feature. The shortcut is great for easily skipping songs on album view but if you happen to be in list view you'll remove songs from your library with no option to undo. iPhone 7 Plus iOS 10.2.1 Spotify version 8.4.28.1104","We hear you! No worries, we'll pass your feedback on to the right team. You can also vote for the official idea here at Let us know if there's anything else we can help with 🙂 /NH",playback_technical,False,common_issue_known_resolution:playback_technical
"I wish didn’t skip/scratch/loop with every song I played on the new IOS Beta... minor glitches just annoying, trying to jam out!","Hey, that doesn't sound right. Can you let us know the Spotify version you're using? We'll see what we can suggest /RH",playback_technical,False,common_issue_known_resolution:playback_technical
My Spotify is still glitching like it was earlier... 💀,Hey! Logging out and back in should help with this. We're here for you if there's anything else 🙂 /YM,playback_technical,False,common_issue_known_resolution:playback_technical
here's a q why does only start buffering during songs (on ps4) only AFTER i have premium,"Hey there, help's here! Can you DM us your account's username or email address? We'll take a look under the hood /AG",playback_technical,False,common_issue_known_resolution:playback_technical
when will get it’s shit together my music literally stops playing all the time and it doesn’t let me play certain playlists,"Hey Sonia, that's not cool! What device and Spotify version are you using? Also, are you getting any error messages when this happens? /BH",playback_technical,False,common_issue_known_resolution:playback_technical
My Android app seems to disconnect when everything else works fine. Lag and unresponsive. Been looking for solution.,Hey there! Can you let us know the Android and Spotify version you're using? We'll see what we can suggest /AR,playback_technical,False,common_issue_known_resolution:playback_technical
"MacOS 10.12.6 and no clue how to tell spotify version. Just started acting up now, and won't play this album at all.","Thanks. To make sure you're using the updated version of the app, we'd suggest a reinstall: Let us know if the same thing happens afterwards /LW",playback_technical,False,common_issue_known_resolution:playback_technical
You're shitty app just added a wack ass song to my playlist while I was trying to skip over it and driving. I nearly wrecked my Kia Soul!,Hey Elizabeth! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO,playback_technical,False,common_issue_known_resolution:playback_technical
"hi , I've had my spotify account for about 2 months and I've never had this problem, basically it's not letting me skip a song when I haven't skipped a song in about 3 days",Hey there! The cavalry's here. Can you DM us your account's email address? We'll take a look under the hood /KB,playback_technical,False,common_issue_known_resolution:playback_technical
Only when it's been shared on Twitter - tried w a couple others over the last week and same result - just this screen buffering,"Hmm. Is this happening over both 3G/4G as well as WiFi? If possible, try restarting your router or connecting to a different network /CO",playback_technical,False,common_issue_known_resolution:playback_technical
"I found an album on the web player (that won't play), but I can't find that album on the app. Help?","Hi Joel! Can you tell us which album that is? On the web player, click on the three dots > Copy Album Link /NH",playback_technical,False,common_issue_known_resolution:playback_technical
When I click to play a song it just skips through them all on the playlist. Like it wants to play but won’t,Thanks! Can you DM us your account's username or email address? We'll take a look backstage /JP,playback_technical,False,common_issue_known_resolution:playback_technical
no error messages just won't play any songs saved.,"Hmm. Is this happening on 3G/4G, WiFi, or both? Does restarting your device make any difference? /KB",playback_technical,False,common_issue_known_resolution:playback_technical
No error message. The app crashes or just pauses,"Is it happening over 3G/4G, WiFi, or both? Also, how much free space do you have left on your device? /KC",playback_technical,False,common_issue_known_resolution:playback_technical
"No errors or messages, just a 5 minute lag on interactions and the fallout where it won't load *any* content after close or force quit.","Hmm. Have you tried logging out, restarting your device, then logging back in? Keep us in the loop /PB",playback_technical,False,common_issue_known_resolution:playback_technical
"I’m able to pull up the app and start playing music, but then it will freeze mid-song. And I’m on WiFi.",Does logging out and logging back in help at all? Can you also try restarting your phone? Let us know how it goes /NJ,playback_technical,False,common_issue_known_resolution:playback_technical
"if your app crashes on my phone and forces me to redownload my entire library one more time, I will switch to Apple Music. Third time I’ve had to do this in a matter of a couple months.","Hi there. Don't worry, help's here. Can you DM us your username or email address so we can check your account? /JU",playback_technical,False,common_issue_known_resolution:playback_technical
well the pink error no longer shows up for some reason but the songs do still skip rapidly and then play 3-4 ads in between,Got it. Does logging out then back in help? We'll keep an eye out for your update /JS,playback_technical,False,common_issue_known_resolution:playback_technical
"The only program which ever causes a total freeze on my Windows 10 machine is , and it does so regularly.","Hey Garve, help's here! Could you DM us some more info? Are you using the web player or desktop app? Which version of Spotfiy are you running? Also, any details or screenshots of error messages you're seeing would be super helpful. We'll be standing by /AL",playback_technical,False,common_issue_known_resolution:playback_technical
"Yo , can you sort out your app/programme for the windows creators updates. Every time it loads it freezes my laptop since update :(",Hi Anna! That doesn't sound good. What Windows and Spotify versions are you using? Can you send us a bit more info on what's happening? /AU,playback_technical,False,common_issue_known_resolution:playback_technical
any chance you could sort out the glitch that means we have no control on the iPhone lock screen?,"Hey! Can you let us know the make & model of your iPhone, along with the iOS and Spotify versions on it? We'll see what we can suggest /LP",playback_technical,False,common_issue_known_resolution:playback_technical
"What's happening with your music in , ?? Your songs won't play anymore... 🙁","Hi Rich. Don't worry, help's here. Can you tell us exactly what goes on? We'll see what we can suggest /JU",playback_technical,False,common_issue_known_resolution:playback_technical
"No errors, if I'm in the middle of a song and tap on the song that doesn't play it immediately stops playing music","Alright! Can you try logging out, restarting your device, then logging back in? /JL",playback_technical,False,common_issue_known_resolution:playback_technical
"FYI: I've had numerous ""no response"" crashes with Spotify 1.0.66 in full-screen on macOS 10.12.6 after unlocking the computer.","Hi Andreas, that's not fun! Does logging out > restarting the device > logging back in help? Keep us posted /TY",playback_technical,False,common_issue_known_resolution:playback_technical
"the app is bugging me for about last month - on both iPad/iPhone it stops playing before going to next song at random (mostly with recently added to playlist, but not all). I've already even uninstalled the app, didn't help - any update on this to be released? 🙁","Hey Tomas, help's here. What iPad and iPhone models are you using? Can you also let us know the exact iOS and Spotify versions you're on? We'll see what we can suggest /AY",playback_technical,False,common_issue_known_resolution:playback_technical
"unable to make payment for my premium account, nothing wrong with my card as checked with the bank.",Hey! We've just replied to your DM. We'll be happy to help you out there /BD,billing_subscription,True,needs_account_verification:billing_subscription
my account has been premium for a while now but I renewed my subscription since I changed my bank card now itkeeps saying free,Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ,general_complaint,False,common_issue_known_resolution:general_complaint
"Hi Spotify, I have an old PS4 account which got banned still linked to my Spotify account, how do I unlink them?","1: Hi there! If your Spotify account is linked to an old or a different PSN account, you can unlink it here:",general_complaint,False,common_issue_known_resolution:general_complaint
it’s not letting me access my account because it says I need to make a new password. But every time i go to do that it says that the CSRF token is invalid. Please help.,"Hey, help's here. Could you send us a DM with your account's email address and username? Also, if you could send a screenshot of the error message you're getting, that'd be super handy. We'll take a look backstage /JZ",account_access,True,needs_account_verification:account_access
"hiya, i need to get into a artist account - Hello Skinny - but we have lost all membership details - how can I log in? thanks!","Hey Daymé! Have you registered with Spotify for Artists yet? If not, you can do so here: 🙂 /T",account_access,False,generic_howto_no_account_claim
"my spotify account has been disabled, is there anyway you guys can reactivate it again?",Hey Chris! Can you DM us your account's username and email address? We'll take a look backstage /SY,general_complaint,False,common_issue_known_resolution:general_complaint
Except after the first time I changed my password and unlinked the tv I had hooked to stream. So why is it happening again.,We’re sorry to hear that. Check out for what to do next /YM,account_access,True,needs_account_verification:account_access
Can you please update us on how long these problems will take to fix? I still can't log in due to them :/,Hey! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /NQ,account_access,True,needs_account_verification:account_access
But now that I deleted it I can’t log in at all. Please email me and I can explain.,"Can you DM us your account's email address? We'll check things out. If you prefer support via email, head to /KC",account_access,True,needs_account_verification:account_access
why is my Spotify playing random songs when the app is closed? I changed my password and logged out of everywhere,Hey Ashley! That doesn't sound good. Can you DM us your account's email address? We'll check things backstage /RI,account_access,True,needs_account_verification:account_access
