golden_id,customer_issue,support_response,human_relevance,human_helpfulness,human_response_quality,human_notes
1,"it sure would be great if you didn't play ads with f-bombs in them during breakfast with the Beatles with my 3 yr old. And don't try to sell me Premium, I already pay! Just wasn't logged in on this computer","Hey Jon, that's not cool. We didn't mean to cause any offense, and we'll be sure to pass the feedback on to the right people /TB",,,,
2,I have got premium but when I turn my data off it says go online to listen?,"Hi there, we're here to help! Can you DM us with your account's username and email address? We'll check it out backstage /WW",,,,
3,Hi I love you but your CarPlay app is AWFUL. Are you working on making it better? is looking tempting 🤒🤒🤒🤒,Hi Tommy! The cavalry's here. Can you send us a bit more info on what's happening? We'll see what we can do /AU,,,,
4,"hi, I just want to double check that I put my address in correctly for the family plan. Is there some way to check that?",Hi! We're afraid you can't view or change the address you've registered when you signed up as the owner of Premium for Family /QI,,,,
5,Hey Spotify my password was reset by you guys but your password reset page isn’t working! It gives a CSRF invalid token error! Please help!,"Hi, we've just replied to your DM. We'll carry on chatting there /SY",,,,
6,I have no access to my email or Facebook I created an account with and I need to fix this. Cancel it and make a new one?,Hey! We've just sent a DM your way. Let's carry on chatting there /JU,,,,
7,"My new card has been charged by ya'll, and I haven't used your services for years? My Spotify account doesn't even have my info updates. How do we resolve this?","Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG",,,,
8,Given my listening experience which is extensive I am sure it's better for you and me that I don't subscribe. How strange.,"Hey Joel! Hey! Don’t worry, we can help. Can you tell what's happening exactly? We'll see what we can suggest /KB",,,,
9,You guys having web player issues by any chance? Keeps making me login over and over.,"Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",,,,
10,whats the best way to report incorrect information/artists on spotify? @/DM you or something else??,"Hey there, you've reached the right place! Could you DM us the URI of the artist that has the incorrect information, along with a quick description of what's happening exactly? We'll check backstage /GK",,,,
11,I added my wife in premium family and now my account isn’t recognized. I cannot log in at all.,"Hi Dan, help has arrived! Can you DM us your account's email address or username? We'll see what we can suggest /ME",,,,
12,Hi . I’ve been randomly unsubscribed from Spotify Premium which is included in my Plan. Why is this so?,Hi Earl! We've just sent a DM your way. Let's carry on chatting there /JQ,,,,
13,"Can we get few details about particular podcast? Like, if I am going to listen to a podcast on Spotify for Windows, why not a summary about it? Only Podcast headline does not help. Hope you guys consider the feedback.",Hey Utkarsh. Nice idea! It's definitely something for the team to consider and we'll make sure it reaches them /QI,,,,
