customer_text,draft_reply,method,top_similarity,judge_faithfulness,judge_relevance,judge_tone,judge_overall,judge_rationale,judge_judge
please help - my Spotify stopped playing and now it's just white.. even community forum for help etc just coming up like this,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.21644785724799379,5,3,5,4,"heuristic: faith_overlap=0.45, rel_overlap=0.10, next_step=True",heuristic
"Still hasn't helped, won't play on bus wifi and won't play when I go off the app either..","Hey there! Do you happen to get any error messages when you go back to the app after leaving it? If so, a screenshot of it would help /AR",offline_extractive_top1,0.2616583681080278,5,4,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.15, next_step=False",heuristic
"I skipped address confirmation, how do I confirm my address for now? Can I have my premium account back? thx","Hey, help's here! Can you DM us your account's email address or username? We'll take a look backstage /KM",offline_extractive_top1,0.2740349809444766,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.11, next_step=True",heuristic
why is my music skipping like a cd,"Hi! We're here to help. What device, operating system, and Spotify version are you using? We'll see what we can suggest /RA",offline_extractive_top1,0.6077606599344453,5,2,3,3,"heuristic: faith_overlap=1.00, rel_overlap=0.00, next_step=False",heuristic
iPhone after a song ends the app crashes,Hey Deniz! Can you let us know the Spotify version you're running? We'll see what we can suggest /PL,offline_extractive_top1,0.25278557677586566,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=True",heuristic
"Thanks but it's not a bug, it's a feature. The shortcut is great for easily skipping songs on album view but if you happen to be in list view you'll remove songs from your library with no option to undo. iPhone 7 Plus iOS 10.2.1 Spotify version 8.4.28.1104","Got it. Just to check, does the issue only happen to your downloaded albums? If you have downloaded playlists, do they become unsynced too? /AG",offline_extractive_top1,0.23186936719163354,5,5,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.26, next_step=False",heuristic
"I wish didn’t skip/scratch/loop with every song I played on the new IOS Beta... minor glitches just annoying, trying to jam out!","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.19651594053419216,5,3,5,4,"heuristic: faith_overlap=0.55, rel_overlap=0.07, next_step=True",heuristic
My Spotify is still glitching like it was earlier... 💀,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.19787655550806493,4,3,5,4,"heuristic: faith_overlap=0.34, rel_overlap=0.03, next_step=True",heuristic
here's a q why does only start buffering during songs (on ps4) only AFTER i have premium,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.20951452072256818,4,3,5,4,"heuristic: faith_overlap=0.31, rel_overlap=0.03, next_step=True",heuristic
when will get it’s shit together my music literally stops playing all the time and it doesn’t let me play certain playlists,Hey Dina! Everything should be running smoothly now. Let us know if you're still getting issues /GS,offline_extractive_top1,0.22806063112837227,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=True",heuristic
My Android app seems to disconnect when everything else works fine. Lag and unresponsive. Been looking for solution.,Got it! Can you DM us your account's email address and username? We'll take a look backstage /KL,offline_extractive_top1,0.3267303398547098,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=True",heuristic
"MacOS 10.12.6 and no clue how to tell spotify version. Just started acting up now, and won't play this album at all.","Thanks for the info. Can you try logging out of Spotify, restarting your device, and logging back in to see if that helps? /NY",offline_extractive_top1,0.31302796472193645,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.13, next_step=True",heuristic
You're shitty app just added a wack ass song to my playlist while I was trying to skip over it and driving. I nearly wrecked my Kia Soul!,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.16371345557048364,5,4,5,5,"heuristic: faith_overlap=0.52, rel_overlap=0.21, next_step=True",heuristic
"hi , I've had my spotify account for about 2 months and I've never had this problem, basically it's not letting me skip a song when I haven't skipped a song in about 3 days",Which iOS and Spotify versions are you running? When did this start happening? Was it after a specific update? We'll figure this out /MV,offline_extractive_top1,0.33494673480353604,5,4,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.22, next_step=False",heuristic
Only when it's been shared on Twitter - tried w a couple others over the last week and same result - just this screen buffering,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.17276388836074613,5,4,5,5,"heuristic: faith_overlap=0.38, rel_overlap=0.14, next_step=True",heuristic
"I found an album on the web player (that won't play), but I can't find that album on the app. Help?",Can you try opening the web player on a different browser or an incognito window? Tell us if that made a difference /JM,offline_extractive_top1,0.28879505724987276,5,5,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.27, next_step=True",heuristic
When I click to play a song it just skips through them all on the playlist. Like it wants to play but won’t,Hey Lauren! Are you getting any errors when trying to play a song? Keep us posted /KL,offline_extractive_top1,0.2562666895762298,5,5,3,4,"heuristic: faith_overlap=1.00, rel_overlap=0.29, next_step=False",heuristic
no error messages just won't play any songs saved.,Does logging out then back in make any difference? Restarting your device might help too /NG,offline_extractive_top1,0.5251768424720371,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=True",heuristic
No error message. The app crashes or just pauses,We hear you. Can you try the steps here for us: They should help with this /TF,offline_extractive_top1,0.27503986834195615,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.06, next_step=True",heuristic
"No errors or messages, just a 5 minute lag on interactions and the fallout where it won't load *any* content after close or force quit.","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.16362293859267288,5,4,5,5,"heuristic: faith_overlap=0.41, rel_overlap=0.14, next_step=True",heuristic
"I’m able to pull up the app and start playing music, but then it will freeze mid-song. And I’m on WiFi.","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.1996872019278691,5,4,5,5,"heuristic: faith_overlap=0.52, rel_overlap=0.17, next_step=True",heuristic
"if your app crashes on my phone and forces me to redownload my entire library one more time, I will switch to Apple Music. Third time I’ve had to do this in a matter of a couple months.","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.1740525396397054,5,4,5,5,"heuristic: faith_overlap=0.52, rel_overlap=0.17, next_step=True",heuristic
well the pink error no longer shows up for some reason but the songs do still skip rapidly and then play 3-4 ads in between,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.19980361856015627,4,3,5,4,"heuristic: faith_overlap=0.28, rel_overlap=0.10, next_step=True",heuristic
"The only program which ever causes a total freeze on my Windows 10 machine is , and it does so regularly.","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.21003658165340255,5,4,5,5,"heuristic: faith_overlap=0.55, rel_overlap=0.17, next_step=True",heuristic
"Yo , can you sort out your app/programme for the windows creators updates. Every time it loads it freezes my laptop since update :(","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.1811150770648602,5,4,5,5,"heuristic: faith_overlap=0.41, rel_overlap=0.17, next_step=True",heuristic
any chance you could sort out the glitch that means we have no control on the iPhone lock screen?,"Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.2091942310952324,5,4,5,5,"heuristic: faith_overlap=0.45, rel_overlap=0.14, next_step=True",heuristic
"What's happening with your music in , ?? Your songs won't play anymore... 🙁","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.2148987996693193,5,2,5,4,"heuristic: faith_overlap=0.52, rel_overlap=0.00, next_step=True",heuristic
"No errors, if I'm in the middle of a song and tap on the song that doesn't play it immediately stops playing music",Hey there! It seems you're on Spotify Free. Feel free to check out if you haven't had a subscription before /MO,offline_extractive_top1,0.2647737267300852,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.20, next_step=True",heuristic
"FYI: I've had numerous ""no response"" crashes with Spotify 1.0.66 in full-screen on macOS 10.12.6 after unlocking the computer.","Thanks for the info. Can you try logging out of Spotify, restarting your device, and logging back in to see if that helps? /NY",offline_extractive_top1,0.2858020968869688,5,4,5,5,"heuristic: faith_overlap=1.00, rel_overlap=0.13, next_step=True",heuristic
"the app is bugging me for about last month - on both iPad/iPhone it stops playing before going to next song at random (mostly with recently added to playlist, but not all). I've already even uninstalled the app, didn't help - any update on this to be released? 🙁","Hey! Thanks for flagging this — we want to get it right, so could you DM us the details (device, app version, and what you're seeing)? We'll take a look.",offline_low_confidence_template,0.1684651918663237,5,4,5,5,"heuristic: faith_overlap=0.55, rel_overlap=0.21, next_step=True",heuristic
"unable to make payment for my premium account, nothing wrong with my card as checked with the bank.","Hi, we've just replied to your DMs. We'll carry on chatting there /SY",offline_extractive_top1,0.2909561350419781,5,3,5,4,"heuristic: faith_overlap=1.00, rel_overlap=0.08, next_step=True",heuristic
