golden_id,customer_issue,support_response,human_relevance,human_helpfulness,human_response_quality,human_notes,rag_response,llm_relevance,llm_helpfulness,llm_response_quality
1,@SpotifyCares please help me cancel my payments for an account I do not have access to. Also get a customer service number if you won’t help,@486668 Hey Brandon! We've already sent a response to you via DM. Let's continue chatting there 🙂 /CH,,,,,@486668 Hey Brandon! We've already sent a response to you via DM. Let's continue chatting there 🙂 /CH,3.0,2.0,3.0
2,@SpotifyCares for DVSN plsss and thank you,@624384 Thanks. Pre-sale codes are being sent out by email to some of DVSN's biggest fans on Spotify. Hopefully you're one of them! /XF,,,,,@624384 Thanks. Pre-sale codes are being sent out by email to some of DVSN's biggest fans on Spotify. Hopefully you're one of them! /XF,5.0,3.0,4.0
3,"@SpotifyCares Hey, I sent a DM. Please check. Thank you!",@503793 Hey there! We've just sent you a DM 🙂 /DF,,,,,@503793 Hey there! We've just sent you a DM 🙂 /DF,5.0,5.0,5.0
4,@SpotifyCares it’s been over 2 months 🤧,"@756275 Hey Joanna, we hear you! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /TB",,,,,"@756275 Hey Joanna, we hear you! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /TB",4.0,2.0,3.0
5,@SpotifyCares And I love the feature on my other devices! Which is why I want it on more! :P thanks again!,"@123421 You're welcome! For anything else, just give us a shout. https://t.co/uEkAlnxbzn 🙂 /MU",,,,,"@123421 You're welcome! For anything else, just give us a shout. https://t.co/uEkAlnxbzn 🙂 /MU",2.0,1.0,3.0
6,"@117168 , I have a technical (read: problem) question that is not covered in your FAQ regarding downloaded playlists on my mobile device. Why do they keep becoming UN-DOWNLOADED?",@748250 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /MG,,,,,@748250 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /MG,,,
7,"@SpotifyCares Thanks! it's working now!!! if i encounter a problem again, i will DM you guys! cheers! 😊",@532607 Great! Glad to hear it's now working. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /FR,,,,,@532607 Great! Glad to hear it's now working. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /FR,,,
8,"If y’all really care, I need a dislike button to keep artists and songs I don’t like away from my curated playlists @SpotifyCares @115888",@416158 Hey Chris! We can see how that’d be useful! You can vote for the official idea here: https://t.co/llJeAWnvFA. Stay awesome /ND,,,,,@416158 Hey Chris! We can see how that’d be useful! You can vote for the official idea here: https://t.co/llJeAWnvFA. Stay awesome /ND,,,
9,@115888 The idea of having limited skips in the 1st place is pathetic. Its a 'free' streaming app that forces u 2 listen to songs you didnt click on,"@477646 2: number of Suggested Tracks you're getting, try adding more artists into your playlists. We hope that helps /JM",,,,,"@477646 2: number of Suggested Tracks you're getting, try adding more artists into your playlists. We hope that helps /JM",,,
10,@448914 @117153 @SpotifyCares Did they resolve You?,@448913 @448914 @117153 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /RB,,,,,@448913 @448914 @117153 Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /RB,,,
11,@115888 You have an atrocious set up there’s no way to organize songs within a playlist time to shop for another provider,"@386359 2: We'll also pass your feedback onto the relevant folks. If there's anything else, just give us a shout /LO",,,,,"@386359 2: We'll also pass your feedback onto the relevant folks. If there's anything else, just give us a shout /LO",,,
12,"@SpotifyCares a double reinstall seemed to fix it (at least for now). Still don't know what caused it, but thanks!","@508555 You're welcome! If you need us again, you know where to find us. Keep on rocking and https://t.co/mJs5KObHO4 🎶 /RC",,,,,"@508555 You're welcome! If you need us again, you know where to find us. Keep on rocking and https://t.co/mJs5KObHO4 🎶 /RC",,,
13,"@115888 I paid it already, but my account is still free account. Can help with my problem? Purchase no __credit_card__",@724806 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,,,,,@724806 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,,,
14,"@115888 I would but I don't wanna pay for Spotify AND Hulu.. I thought that if you're paying for Spotify, Hulu is free but I guess not.",@578183 2. There's more info about it here: https://t.co/hAqefUikr2. Give us a shout if you have other questions 🙂 /AY,,,,,@578183 1: Hey! Students in accredited colleges in the U.S. can apply for the student discount ($4.99) with Hulu access for no additional cost.,,,
15,https://t.co/Ksa5JJKJh7 Futura Grammy Winner.,"@540274 Hey! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /TB",,,,,"@540274 Hey! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /TB",,,
16,"@SpotifyCares Train tickets, With very loud horns. Oh and visit some place somewhere. I switch off once is says listen to this... And thanks for listening","@594886 Got it. Just to check, did you definitely watch the video ad that grants 30 minutes of ad-free listening in full? Keep us in the loop /NY",,,,,"@594886 Got it. Just to check, did you definitely watch the video ad that grants 30 minutes of ad-free listening in full? Keep us in the loop /NY",,,
17,@SpotifyCares I have 8.4.28.1104 now :),"@748243 Great! The newest version of Spotify should support the iPhone X. Can you try logging out, restarting your phone, and logging back in? Let us know how it goes /DD",,,,,"@748243 Great! The newest version of Spotify should support the iPhone X. Can you try logging out, restarting your phone, and logging back in? Let us know how it goes /DD",,,
18,"@SpotifyCares Hi, I have been charged when I was expecting a free trial. I have sent a DM with my email address and more information :)",@669940 Hi there! We just replied to your DM. Let's keep chatting there /WW,,,,,@669940 Hi there! We just replied to your DM. Let's keep chatting there /WW,,,
19,"@SpotifyCares Yes, I have the IPhone 7, 11.0.3. My Spotify version is 8.4.22. Thanks",@321658 Got it. Are you getting any error messages when playing songs? Can you send us a screenshot of this? /JP,,,,,@321658 Got it. Are you getting any error messages when playing songs? Can you send us a screenshot of this? /JP,,,
20,@SpotifyCares SOS! Tried to make a student account with my new student email and it says it is already taken!!!,"@373688 Hey Adrianna, help's here! Can you DM us your email address? We'll take a look backstage /JP https://t.co/ldFdZRiNAt",,,,,"@373688 Hey Adrianna, help's here! Can you DM us your email address? We'll take a look backstage /JP https://t.co/ldFdZRiNAt",,,
21,"@SpotifyCares Right now, I can't sign up for whatever reason. I meet all the criteria for me to sign in, but I can't. Hope to fix this soon",@544543 Hey John! Help's here. Can you DM us your account's username or email address? We'll take a look backstage /TC https://t.co/ldFdZRiNAt,,,,,@544543 Hey John! Help's here. Can you DM us your account's username or email address? We'll take a look backstage /TC https://t.co/ldFdZRiNAt,,,
22,@SpotifyCares Hey folks! Why are different songs sneaking into my Playlist when I'm playing on mobile? Happened on Album AND Playlist....,"@374521 Hey James! You must be getting Suggested Tracks, and they're part of our Free service on mobile. More info here: https://t.co/Uv9kyGcsCc /SY",,,,,"@374521 Hey James! You must be getting Suggested Tracks, and they're part of our Free service on mobile. More info here: https://t.co/Uv9kyGcsCc /SY",,,
23,@SpotifyCares Hi thanks yes I found that. I changed payment AND country but it still says the old country in my account. Any ideas?,@414613 Hmm. Can you DM us your account's username or email address? We'll take a look backstage /TC https://t.co/ldFdZRiNAt,,,,,@414613 Hmm. Can you DM us your account's username or email address? We'll take a look backstage /TC https://t.co/ldFdZRiNAt,,,
24,@115888 I’m just trying to cancel my premium bro. https://t.co/Vj1D5bEHMz,"@746956 Hey Shakur, help's arrived! Can you DM us your account's email address? We'll take a look backstage /DD https://t.co/ldFdZRiNAt",,,,,"@746956 Hey Shakur, help's arrived! Can you DM us your account's email address? We'll take a look backstage /DD https://t.co/ldFdZRiNAt",,,
25,@SpotifyCares check ya dm,@783006 Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ,,,,,@783006 Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /NQ,,,
26,Hi @SpotifyCares quick ?  have you removed the preview feature from your iOS app ? ie long press a track and it plays.,@297560 Hey Andrew! We have more info about this here: https://t.co/pXBCq8GlsI /CP,,,,,@297560 Hey Andrew! We have more info about this here: https://t.co/pXBCq8GlsI /CP,,,
27,"@SpotifyCares Hi, I can't seem to download songs in my tablet even though I can on my phone. The app looks completely different. Please help","@129424 Hi Rob, help's here! Can you let us know your device's model, OS, and Spotify version? We'll see what we can suggest /DV",,,,,"@129424 Hi Rob, help's here! Can you let us know your device's model, OS, and Spotify version? We'll see what we can suggest /DV",,,
28,@117153 Trying to sign up with an email but after filling everything out the screen stays the same and the loading circle just keeps spinning. Then the verification box expires during the loading... I have tried refreshing and retrying 3 times now... #help,"@717070 Hey! We suggest using an incognito window, then heading to https://t.co/GdLO1Hvs9l so you can create an account. Hope this helps /JL",,,,,"@717070 Hey! We suggest using an incognito window, then heading to https://t.co/GdLO1Hvs9l so you can create an account. Hope this helps /JL",,,
29,"@SpotifyCares Hi, someone else in my building keeps changing over the device to their fire tv stick and I'd like it blocked, thank you.","@282397 Hi Ben, help's arrived! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt",,,,,"@282397 Hi Ben, help's arrived! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt",,,
30,@SpotifyCares That link worked - thank you!,"@245355 Awesome! You can now enjoy a full year of tunes without thinking about a monthly bill. If you ever need help with anything else, you know where to find us /QI",,,,,"@245355 Awesome! You can now enjoy a full year of tunes without thinking about a monthly bill. If you ever need help with anything else, you know where to find us /QI",,,
31,"@SpotifyCares So, when do you think this will happen? Would really like to run to Spotify on my Apple Watch @115858 @115888","@254421 Hey there! We're afraid we don’t have any new info to share about this, but we’ll remind the team it’s a popular request /NQ",,,,,"@254421 Hey there! We're afraid we don’t have any new info to share about this, but we’ll remind the team it’s a popular request /NQ",,,
32,@SpotifyCares Regardless that didn't work AND it deleted all my downloaded music. Thanks for that...,@477718 We're sorry to hear about that. No worries. Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt,,,,,@477718 We're sorry to hear about that. No worries. Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt,4.0,3.0,3.0
33,@115888 disgusting customer services. Charged me twice for 2 mths then after cancelling still took another payment. Now refusing to refund,"@557835 Hey, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO https://t.co/ldFdZRiNAt",,,,,"@557835 Hey, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO https://t.co/ldFdZRiNAt",4.0,4.0,4.0
34,Unfortunately #Reputation is not yet on @115888 but very pleased to see such strong reviews for it ✔,"@649699 We’d love to have all of her stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /JN",,,,,"@649699 We’d love to have all of her stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /JN",5.0,4.0,4.0
35,@SpotifyCares Its annoying when you cant login or CHANGE YOUR PASSWORD.. seems like a website issue..,"@519156 Hey Matt, help's here! Can you DM us your account's email address and username? We'll take a look backstage 🙂 /CG https://t.co/ldFdZRiNAt",,,,,"@519156 Hey Matt, help's here! Can you DM us your account's email address and username? We'll take a look backstage 🙂 /CG https://t.co/ldFdZRiNAt",4.0,4.0,4.0
36,@SpotifyCares It’s something Rdio did. And I miss it deeply while scrolling past the Taylor Swift releases.,"@377878 We hear you loud and clear. Rest assured, your feedback will be passed on to the right folks /JI",,,,,"@377878 We hear you loud and clear. Rest assured, your feedback will be passed on to the right folks /JI",3.0,2.0,3.0
37,"@SpotifyCares I just create an premium account with student pack. My credit card has been debit but my spotify account stay in « free », help me please","@735204 Hi Simon, help's here! Could you DM us your username and email address? We'll take a look under the hood 🔍 /JQ https://t.co/ldFdZRiNAt",,,,,"@735204 Hi Simon, help's here! Could you DM us your username and email address? We'll take a look under the hood 🔍 /JQ https://t.co/ldFdZRiNAt",5.0,4.0,4.0
38,"@SpotifyCares Uninstalled, rebooted, reinstalled and now it appears stable. I can switch between artists (and have done many many times now) and its not crashed yet. So - sorted! Thanks.","@776668 Great! Glad to hear it's working again. If you ever need us again, just shout 🙂 /K",,,,,"@776668 Great! Glad to hear it's working again. If you ever need us again, just shout 🙂 /K",,,
39,@125633 hiiii how could we be on a cool @115888 rock playlist pls?,@580762 Hi! Our Curation team are independent so there's no formal submission process. Check out https://t.co/6BMOmfiZvQ to help gain visibility /SP,,,,,@580762 Hi! Our Curation team are independent so there's no formal submission process. Check out https://t.co/6BMOmfiZvQ to help gain visibility /SP,,,
